"experiment","age","matches","passFrequency","noLegalTurns","affordabilityRate","buildOfferRate","trainOfferRate","advanceOfferRate","keystoneOfferRate","buildSelectionRate","trainSelectionRate","advanceSelectionRate","keystoneSelectionRate","endingGrowth","endingInsight","growthIncome","insightIncome","growthSpent","insightSpent","structures","units","perks","keystones","contestedHeldPerTurn","avgPlayerScore","avgSnapshotScore","scoreDiff","tieRate","playerWinRate","combatPerSide","survivalTurns","counterAdvantagePerSide","reachParticipationPerSide","reachProtectionPerSide","riverLaneSelections","highlandLaneSelections","coastLaneSelections"
"START_INSIGHT_0","ALL","1200","0.11565972222222212","6662","0.7178935185185186","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23847222222222222","0.3409375","0.30493055555555554","0.02875","145.89166666666668","62.26166666666666","290.75666666666666","102.44416666666666","152.865","40.1825","5.723333333333334","8.1825","7.318333333333333","0.69","0.3512847222222221","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","10.918333333333333","7.145208131655373","3.4775","0.060833333333333336","0.0275","12.37","7.171666666666667","8.27"
"MATCHED_BASELINE_START_INSIGHT_4","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"START_INSIGHT_4","ALL","1200","0.11315972222222195","6518","0.7275578703703703","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23857638888888888","0.3410763888888889","0.3071875","0.028819444444444446","145.7525","65.025","290.85833333333335","101.54333333333334","153.10583333333332","40.51833333333333","5.725833333333333","8.185833333333333","7.3725","0.6916666666666667","0.3518055555555553","8.443333333333333","8.443333333333333","0","0.013333333333333334","0.49333333333333335","11.04","7.202204120747484","3.5441666666666665","0.08333333333333333","0.04083333333333333","12.44","7.126666666666667","8.256666666666666"
"MATCHED_BASELINE_UNIT_HP_75","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"UNIT_HP_75","ALL","1200","0.11430555555555534","6584","0.725474537037037","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23510416666666667","0.34402777777777777","0.3065625","0.028784722222222222","141.48","63.7225","286.69083333333333","101.86083333333333","153.21083333333334","40.138333333333335","5.6425","8.256666666666666","7.3575","0.6908333333333333","0.3570486111111109","8.569166666666666","8.569166666666666","0","0.008333333333333333","0.49583333333333335","9.541666666666666","6.307027875932469","3.0475","0.04583333333333333","0.025","12.256666666666666","7.161666666666667","8.38"
"MATCHED_BASELINE_UNIT_HP_125","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"UNIT_HP_125","ALL","1200","0.11631944444444434","6700","0.7214467592592593","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.3380902777777778","0.3098611111111111","0.029131944444444443","143.82166666666666","63.56166666666667","287.07916666666665","102.4025","151.2575","40.840833333333336","5.6575","8.114166666666666","7.4366666666666665","0.6991666666666667","0.3511805555555559","8.428333333333333","8.428333333333333","0","0.006666666666666667","0.49666666666666665","12.368333333333334","8.064809550881183","3.9141666666666666","0.085","0.03333333333333333","12.303333333333333","7.101666666666667","8.138333333333334"
"MATCHED_BASELINE_BUILD_CUTOFF_14","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"BUILD_CUTOFF_14","ALL","1200","0.11680555555555559","6728","0.7189236111111111","0.23944444444444463","0.42868055555555484","0.33187499999999986","0.03472222222222239","0.18385416666666668","0.3651041666666667","0.3342361111111111","0.03131944444444444","128.81","50.68","257.86583333333334","92.97916666666667","137.05583333333334","44.299166666666665","4.4125","8.7625","8.021666666666667","0.7516666666666667","0.36239583333333275","8.6975","8.6975","0","0.006666666666666667","0.49666666666666665","12.456666666666667","7.810929397686478","4.0475","0.075","0.035833333333333335","10.938333333333333","7.151666666666666","8.26"
"MATCHED_BASELINE_BUILD_CUTOFF_18","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"BUILD_CUTOFF_18","ALL","1200","0.11572916666666658","6666","0.7221527777777778","0.27402777777777726","0.41333333333333394","0.31263888888888897","0.03229166666666689","0.2220486111111111","0.3470486111111111","0.3151736111111111","0.029722222222222223","141.89333333333335","59.185833333333335","281.36583333333334","99.1775","147.4725","41.99166666666667","5.329166666666667","8.329166666666667","7.564166666666667","0.7133333333333334","0.35187499999999944","8.445","8.445","0","0.013333333333333334","0.49333333333333335","11.445","7.336941813261164","3.6925","0.0775","0.03833333333333333","11.995","7.12","8.201666666666666"
"MATCHED_BASELINE_LATE_BUILD_COST_75","ALL","1200","0.11548611111111089","6652","0.7233680555555555","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.23572916666666666","0.34086805555555555","0.30791666666666667","0.028819444444444446","143.10416666666666","63.62166666666667","287.4266666666667","102.04583333333333","152.3225","40.424166666666665","5.6575","8.180833333333334","7.39","0.6916666666666667","0.351284722222222","8.430833333333334","8.430833333333334","0","0.013333333333333334","0.49333333333333335","11.005","7.198656429942418","3.5241666666666664","0.06916666666666667","0.034166666666666665","12.286666666666667","7.136666666666667","8.253333333333334"
"LATE_BUILD_COST_75","ALL","1200","0.11475694444444415","6610","0.7258333333333333","0.2895833333333338","0.40527777777777885","0.30513888888888846","0.030694444444444708","0.24232638888888888","0.3382986111111111","0.30461805555555554","0.028576388888888887","146.2825","65.08166666666666","290.66833333333335","102.79333333333334","152.38583333333332","39.711666666666666","5.815833333333333","8.119166666666667","7.310833333333333","0.6858333333333333","0.35010416666666627","8.4025","8.4025","0","0.015","0.4925","10.868333333333334","7.1323888617489","3.4925","0.07083333333333333","0.035833333333333335","12.465","7.145","8.26"
