"cardId","contentType","timesOffered","timesLegal","timesSelected","selectionRateWhenLegal","winRateWhenSelected","averageScoreDifferentialWhenSelected","averageSelectionTurn","policyDistribution","laneA","laneB","laneC"
"PERK_TEMPO_FRONTLINE","PERK","15036","13114","4860","0.37059630928778403","0.3493827160493827","0.20617283950617285","15.35925925925926","{""RANDOM_LEGAL"":836,""ECONOMY_FIRST"":682,""MILITARY_FIRST"":862,""INSIGHT_FIRST"":1306,""BOARD_CONTROL"":790,""ADAPTIVE"":384}","0","0","0"
"PERK_TEMPO_LATE_SURGE","PERK","6048","5454","2634","0.4829482948294829","0.3424449506454062","-0.2984054669703872","21.424449506454064","{""RANDOM_LEGAL"":356,""ECONOMY_FIRST"":432,""MILITARY_FIRST"":454,""INSIGHT_FIRST"":678,""BOARD_CONTROL"":422,""ADAPTIVE"":292}","0","0","0"
"PERK_CONV_I_TO_G_1","PERK","20496","17304","6400","0.36985668053629217","0.34","0.2628125","12.3365625","{""RANDOM_LEGAL"":1012,""ECONOMY_FIRST"":866,""MILITARY_FIRST"":1100,""INSIGHT_FIRST"":1662,""BOARD_CONTROL"":1238,""ADAPTIVE"":522}","0","0","0"
"PERK_CONV_G_TO_I_1","PERK","18816","16088","5874","0.36511685728493287","0.3469526727953694","0.04085801838610827","12.805924412665986","{""RANDOM_LEGAL"":998,""ECONOMY_FIRST"":788,""MILITARY_FIRST"":948,""INSIGHT_FIRST"":1600,""BOARD_CONTROL"":1112,""ADAPTIVE"":428}","0","0","0"
"PERK_CONV_RIVER_INSIGHT","PERK","12852","11606","4556","0.39255557470273994","0.34460052677787534","0.07462686567164178","16.00482879719052","{""RANDOM_LEGAL"":812,""ECONOMY_FIRST"":554,""MILITARY_FIRST"":760,""INSIGHT_FIRST"":1240,""BOARD_CONTROL"":836,""ADAPTIVE"":354}","0","0","0"
"PERK_CONV_TILES_GROWTH","PERK","16212","13974","5190","0.3714040360669815","0.3398843930635838","-0.19113680154142582","16.410404624277458","{""RANDOM_LEGAL"":790,""ECONOMY_FIRST"":718,""MILITARY_FIRST"":850,""INSIGHT_FIRST"":1500,""BOARD_CONTROL"":874,""ADAPTIVE"":458}","0","0","0"
"PERK_UTIL_RIVER_POWER","PERK","17808","15302","5856","0.38269507253953733","0.3439207650273224","0.2383879781420765","13.62704918032787","{""RANDOM_LEGAL"":1002,""ECONOMY_FIRST"":906,""MILITARY_FIRST"":990,""INSIGHT_FIRST"":1524,""BOARD_CONTROL"":1010,""ADAPTIVE"":424}","0","0","0"
"PERK_UTIL_COAST_GROWTH","PERK","19320","15816","6262","0.39592817400101166","0.3420632385819227","-0.00830405621207282","11.730118173107634","{""RANDOM_LEGAL"":1116,""ECONOMY_FIRST"":798,""MILITARY_FIRST"":964,""INSIGHT_FIRST"":1674,""BOARD_CONTROL"":990,""ADAPTIVE"":720}","0","0","0"
"PERK_UTIL_HIGHLAND_INSIGHT","PERK","22512","18376","7378","0.40150195907705705","0.3407427487123882","0.1436703713743562","12.596638655462185","{""RANDOM_LEGAL"":1180,""ECONOMY_FIRST"":986,""MILITARY_FIRST"":1266,""INSIGHT_FIRST"":2194,""BOARD_CONTROL"":1174,""ADAPTIVE"":578}","0","0","0"
"KEYSTONE_DOUBLE_TILES","KEYSTONE","10248","6678","3668","0.549266247379455","0.34187568157033804","-0.39912758996728465","17.107415485278082","{""RANDOM_LEGAL"":566,""ECONOMY_FIRST"":452,""MILITARY_FIRST"":462,""INSIGHT_FIRST"":830,""BOARD_CONTROL"":542,""ADAPTIVE"":816}","0","0","0"
"KEYSTONE_GROWTH_ENGINE","KEYSTONE","10752","6962","3460","0.49698362539500146","0.3225433526011561","-0.44739884393063584","17.928901734104045","{""RANDOM_LEGAL"":438,""ECONOMY_FIRST"":554,""MILITARY_FIRST"":498,""INSIGHT_FIRST"":728,""BOARD_CONTROL"":488,""ADAPTIVE"":754}","0","0","0"
"KEYSTONE_INSIGHT_ENGINE","KEYSTONE","13356","7690","4008","0.5211963589076724","0.3388223552894212","-0.6746506986027944","17.61127744510978","{""RANDOM_LEGAL"":522,""ECONOMY_FIRST"":464,""MILITARY_FIRST"":516,""INSIGHT_FIRST"":952,""BOARD_CONTROL"":616,""ADAPTIVE"":938}","0","0","0"
"KEYSTONE_TOTAL_MOBILIZATION","KEYSTONE","11508","5928","3444","0.5809716599190283","0.3710801393728223","0.6138211382113821","17.389082462253192","{""RANDOM_LEGAL"":412,""ECONOMY_FIRST"":420,""MILITARY_FIRST"":778,""INSIGHT_FIRST"":626,""BOARD_CONTROL"":584,""ADAPTIVE"":624}","0","0","0"
